"Fold","Predictor","DeltaLogLik","NormalizedDeltaLL"
1,"pcfg_surp_sum",15.5887075094554,0.151346674849082
1,"avg_cosine_dist_broad_sbert",14.5437121180818,0.141201088525066
9,"pcfg_surp_sum",13.2583211305785,0.131270506243352
1,"avg_cosine_dist_broad_glove",12.8857537281102,0.125104405127284
1,"avg_cosine_dist_broad_electra",11.7154012780925,0.11374175998148
7,"avg_cosine_dist_broad_sbert",10.7687978930553,0.104551435854906
1,"avg_cosine_dist_broad_gpt2",9.68548952142811,0.0940338788488166
5,"avg_cosine_dist_broad_sbert",9.3280468919435,0.082549087539323
10,"avg_cosine_dist_broad_sbert",8.03761351393599,0.0803761351393599
7,"pcfg_surp_sum",7.04792922497481,0.0684264973298525
9,"avg_cosine_dist_broad_glove",6.62698720834541,0.0656137347360932
7,"sum_surp_ngram",5.37943867883963,0.0522275599887343
8,"avg_cosine_dist_broad_sbert",5.28215418835953,0.0567973568640809
4,"avg_cosine_dist_broad_sbert",5.17199299711413,0.0638517653964707
7,"avg_cosine_dist_broad_bert",5.10207254213569,0.0495346848751038
9,"sum_surp_ngram",5.047622029419,0.0499764557368218
2,"avg_cosine_dist_broad_bert",5.0410851000118,0.0450096883929625
9,"avg_cosine_dist_broad_sbert",4.92747306560065,0.04878686203565
3,"avg_cosine_dist_broad_sbert",4.9205924073312,0.0497029536094061
8,"pcfg_surp_sum",4.78696192839335,0.0514727089074554
6,"avg_cosine_dist_broad_gpt2",4.71694560909911,0.0496520590431486
2,"sum_surp",4.67241825329964,0.0417180201187468
8,"avg_cosine_dist_broad_glove",4.11196226244435,0.0442146479832726
7,"avg_cosine_dist_broad_glove",4.03540948973101,0.0391787329100098
8,"avg_cosine_dist_broad_bert",3.99537403599614,0.0429610111397434
3,"avg_cosine_dist_broad_glove",3.81863665825088,0.0385720874570796
2,"avg_cosine_dist_broad_gpt2",3.61415419466991,0.0322692338809813
2,"pcfg_surp_sum",3.57663499804488,0.0319342410539721
6,"avg_cosine_dist_broad_sbert",3.52923803111692,0.037149874011757
6,"avg_cosine_dist_broad_glove",3.48400503380262,0.0366737371979223
9,"avg_cosine_dist_broad_bert",3.47480763995792,0.0344040360391873
9,"sum_surp",3.38867362966556,0.0335512240560947
10,"pcfg_surp_sum",3.29266893691225,0.0329266893691225
3,"sum_surp",3.2387606031408,0.0327147535670788
4,"avg_cosine_dist_broad_glove",3.23641446344202,0.0399557341165681
2,"sum_surp_ngram",3.19714961721817,0.0285459787251623
5,"avg_cosine_dist_broad_glove",2.96240052583866,0.0262159338569793
5,"avg_cosine_dist_broad_bert",2.93179860726633,0.0259451204182861
10,"sum_surp",2.67624973935493,0.0267624973935493
2,"avg_cosine_dist_broad_sbert",2.66233720262966,0.0237708678806219
8,"avg_cosine_dist_broad_electra",2.60532287212057,0.0280142244314039
2,"avg_cosine_dist_broad_glove",2.56819882631513,0.0229303466635279
4,"avg_cosine_dist_broad_gpt2",2.42388492823622,0.0299245052868669
6,"avg_cosine_dist_broad_bert",2.26808037079378,0.0238745302188819
1,"avg_cosine_dist_broad_bert",2.24822744122869,0.0218274508857155
5,"pcfg_surp_sum",2.23137811962226,0.0197467090232059
9,"avg_cosine_dist_broad_use",2.11474523276932,0.0209380716115775
6,"pcfg_surp_sum",1.93522099993719,0.0203707473677599
1,"avg_cosine_dist_broad_use",1.8173062536473,0.0176437500354107
10,"sum_surp_ngram",1.78478395780576,0.0178478395780576
10,"avg_cosine_dist_broad_glove",1.72702530750892,0.0172702530750892
8,"sum_surp",1.68414827916899,0.018109121281387
6,"avg_cosine_dist_broad_use",1.4975857627454,0.0157640606604779
8,"avg_cosine_dist_broad_use",1.328087330187,0.014280508926742
10,"avg_cosine_dist_broad_bert",1.20921162733666,0.0120921162733666
3,"avg_cosine_dist_broad_use",1.20839653354288,0.0122060255913422
9,"avg_cosine_dist_broad_gpt2",1.18920810499898,0.0117743376732573
2,"avg_cosine_dist_broad_electra",1.17628507335746,0.0105025452978345
10,"avg_cosine_dist_broad_gpt2",1.1251198001252,0.011251198001252
6,"avg_cosine_dist_broad_electra",1.1236029858991,0.0118273998515694
4,"pcfg_surp_sum",1.09584005853708,0.0135288896115689
7,"sum_surp",1.04728748069107,0.0101678396183599
10,"avg_cosine_dist_broad_use",1.04276792865915,0.0104276792865915
5,"sum_surp",1.00034569917918,0.00885261680689538
8,"sum_surp_ngram",0.996486019872535,0.0107149034394896
9,"avg_cosine_dist_broad_electra",0.9698514126014,0.00960248923367723
7,"avg_cosine_dist_broad_use",0.892708398838749,0.00866707183338592
5,"avg_cosine_dist_broad_gpt2",0.793821260882737,0.0070249669104667
3,"avg_cosine_dist_broad_bert",0.782550220498095,0.00790454768179894
4,"avg_cosine_dist_broad_bert",0.747758209784081,0.00923158283684051
7,"avg_cosine_dist_broad_electra",0.731339507754527,0.0071003835704323
6,"sum_surp",0.722974047643902,0.0076102531330937
6,"sum_surp_ngram",0.638117270562589,0.00671702390065883
4,"sum_surp",0.630428919475492,0.00778307307994434
4,"avg_cosine_dist_broad_electra",0.627022557493177,0.00774101922831083
1,"sum_surp",0.570742600370409,0.00554119029485834
5,"sum_surp_ngram",0.549921693828992,0.00486656366220347
1,"sum_surp_ngram",0.405550854300969,0.00393738693496087
3,"sum_surp_ngram",0.392708706690186,0.00396675461303218
4,"sum_surp_ngram",0.349265160493843,0.00431191556165238
8,"avg_cosine_dist_broad_gpt2",0.275071379069203,0.00295775676418498
2,"avg_cosine_dist_broad_use",0.21619236950113,0.00193028901340294
10,"avg_cosine_dist_broad_electra",0.190067377181407,0.00190067377181407
3,"avg_cosine_dist_broad_gpt2",0.143912202041278,0.00145365860647756
3,"pcfg_surp_sum",0.115145628052289,0.00116308715204333
5,"avg_cosine_dist_broad_electra",0.0715733365571225,0.000633392358912589
5,"avg_cosine_dist_broad_use",0.0701566355204761,0.000620855181597134
3,"avg_cosine_dist_broad_electra",0.0658006284848511,0.000664652812978294
4,"avg_cosine_dist_broad_use",0.0501778583705601,0.000619479732969878
7,"avg_cosine_dist_broad_gpt2",0.0413726851513019,0.000401676554867009
